Feature_ID,AC_1,AC_10,AC_100,AC_101,AC_102,AC_103,AC_104,AC_105,AC_106,AC_107,AC_108,AC_109,AC_11,AC_12,AC_13,AC_14,AC_15,AC_16,AC_17,AC_18,AC_19,AC_2,AC_20,AC_21,AC_22,AC_23,AC_24,AC_25,AC_26,AC_27,AC_28,AC_29,AC_3,AC_30,AC_31,AC_32,AC_33,AC_34,AC_35,AC_36,AC_38,AC_39,AC_4,AC_40,AC_42,AC_43,AC_44,AC_45,AC_46,AC_47,AC_48,AC_49,AC_5,AC_50,AC_51,AC_52,AC_53,AC_54,AC_55,AC_56,AC_57,AC_58,AC_59,AC_6,AC_60,AC_61,AC_64,AC_65,AC_66,AC_67,AC_68,AC_69,AC_7,AC_70,AC_71,AC_72,AC_73,AC_74,AC_75,AC_76,AC_77,AC_78,AC_79,AC_8,AC_80,AC_81,AC_82,AC_83,AC_84,AC_85,AC_86,AC_87,AC_88,AC_89,AC_9,AC_90,AC_91,AC_92,AC_93,AC_94,AC_95,AC_96,AC_97,AC_98,AC_99
468a4cc1c2ce9de8122156fdcb45e1e2,0,13,0,0,9,0,0,0,0,0,0,0,0,2,0,0,271,0,17,0,22,0,0,0,18,12,10,0,36,0,0,4,0,12,0,0,0,0,47,0,0,0,0,0,74,0,12,317,68,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,5,0,0,0,0,67,0,0,0,0,0,0,0,0,430,57,0,14,0,0,0,0,0,0,0
8191d0d00eaaf5ab3cbfe79739d386ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,3,0,0,0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0
ba60ba98376bed4fab80d8768b5dece4,0,7,0,0,14,0,0,0,0,0,0,41,4,0,0,6,161,35,0,0,8,0,0,47,17,0,6,21,15,30,0,0,0,0,0,0,0,0,14,0,21,0,2,0,0,0,13,232,0,1,6,0,0,0,0,0,0,0,0,0,5,0,45,9,0,0,0,0,15,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,427,10,4,0,0,0,0,0,0,26,0
8841fcfa1a05232be8450c8f460dca05,2,6,101,0,0,0,2,0,9,0,0,0,0,0,19,48,0,26,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,13,0,43,8,0,0,0,10,0,0,0,0,0,0,3,0,26,0,14,115,13,0,0,3,181,0,0,0,0,48,0,0,22,0,0,15,0,188,0,77,0,0,715,0,0,79,0,0,0,0,0
bdab13e19211856ad5b9ffde644217bb,3,0,18,4,175,31,0,0,0,0,41,243,0,0,1,9,6,100,17,0,0,0,29,0,0,0,0,2,13,0,444,5,0,0,2,5,0,0,2,32,67,25,64,34,0,67,0,0,46,0,0,41,47,0,15,299,12,0,41,0,0,32,0,1,0,0,271,0,0,0,3,13,13,67,0,0,5,10,0,0,0,8,22,2,0,0,0,0,0,17,83,11,158,9,0,21,0,7,22,0,0,24,20,0,59
664697bb199ad44ffc82b5aee5a9c149,5,1,0,3,519,0,14,0,3,1,200,0,0,0,0,0,11,21,0,179,0,0,0,0,0,0,0,22,0,0,0,0,0,42,0,0,0,0,7,0,19,0,0,0,0,0,0,0,0,0,43,0,0,0,67,0,0,0,0,0,19,0,0,0,315,0,0,0,11,0,0,0,45,36,0,0,28,0,2,0,0,0,0,1,0,0,9,0,13,0,0,5,0,0,0,0,0,0,0,0,0,49,0,0,0
3ff335d3936cb2cd6ee366ddf34e49d1,15,0,0,0,41,0,0,0,0,0,0,0,23,0,36,0,0,33,15,32,0,0,59,80,21,13,0,0,0,31,172,22,0,0,0,0,0,8,0,0,0,0,0,5,0,52,0,0,0,21,14,0,0,0,0,0,0,55,0,0,89,17,0,10,0,0,0,0,0,0,0,27,0,18,0,0,0,63,0,77,26,0,26,0,0,0,0,1,16,0,0,15,312,0,0,0,0,0,0,7,0,6,33,55,0
7db6bc9ca547dcbb30a8fb4e0ba36a81,0,0,0,0,0,0,0,78,47,0,0,0,8,0,0,19,0,0,0,0,5,7,0,0,0,0,0,3,0,0,0,0,216,357,0,13,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,15,0,0,0,0,0,0,0,0,46,0,2,38,19,0,0,0,32,0,0,0,0,0,8,0,46,0,0,0,0,14,0,0,0,0,0,0,0,11,0,0,0,0,0
927852326cf2b1345154d18e19362e7f,5,9,0,11,4,0,0,0,0,0,0,0,27,0,37,20,0,38,21,6,4,45,0,37,0,0,0,0,0,0,0,0,47,0,0,20,0,9,0,0,20,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,11,78,0,5,1,0,130,0,0,0,32,0,0,12,0,132,0,12,0,0,6,4,0,0,0,0,228,0,0,3,0,0,0,0,0,0,13,11,0,15,45,0,0,0,0,0,0,0
e2d07801858b8783b72867d25cc6affc,0,0,0,0,0,0,19,0,50,37,0,0,7,0,15,67,0,0,0,0,15,34,0,0,0,8,0,0,0,0,0,0,0,0,0,19,0,40,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,22,132,0,2,0,0,28,0,0,0,0,23,4,62,0,26,78,19,0,0,0,47,0,0,0,0,0,0,0,45,0,0,13,0,11,0,48,0,0,0,20,0,22,0,0,0,0,43
