Feature_ID,Taxon
e9fb89d2b7c081bedff78067270671ec,D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__Verrucomicrobiaceae;D_5__Haloferula;D_6__uncultured bacterium
982450717948b75b53ec612ca1f4166b,D_0__Bacteria
629de09ed267a0baeb15a3c8ba16b555,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__MAT-CR-H4-C10;D_5__uncultured bacterium;D_6__uncultured bacterium
40ad5a9d91247c96e675f2f65784f554,D_0__Bacteria
5ce26c62bbfb0eedf70852fefce789ae,D_0__Bacteria
19a0c92f08e357f7566f60a29f5126d2,D_0__Bacteria
63047fe0a53af9a07ecfe273d8b3b7b6,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Hahellaceae;D_5__Endozoicomonas;D_6__uncultured bacterium
68f4a74407692842a48a0dd5f7065413,D_0__Bacteria
0f4524d3277fa26f6d0deabcaf674720,D_0__Bacteria
44c09e0c4353f361f6f33aa8ba8910b7,D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Muricauda;D_6__uncultured bacterium
b310762b2e64f75ae67df592682153b4,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Hahellaceae;D_5__Endozoicomonas;D_6__uncultured bacterium
542cf6eac2b9f7c9c6922c973c6fa250,D_0__Bacteria
0815447f237c7e520eb0f4c0ff97d3b4,D_0__Bacteria
89f5281f7e32a745481ba39c2b09ff2b,D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__Verrucomicrobiaceae;D_5__Luteolibacter;D_6__uncultured bacterium
a1064cea4fb0d8aa3e5d592369b84ac3,D_0__Bacteria;D_1__Bacteroidetes;D_2__Sphingobacteriia;D_3__Sphingobacteriales;D_4__Saprospiraceae;D_5__uncultured;D_6__uncultured bacterium
43eb4d7fe8c6f0beb8905339725dec97,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Legionellales;D_4__Coxiellaceae;D_5__Rickettsiella;D_6__uncultured bacterium
a11f8cae63de80c4b5793b7f73f93117,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Tateyamaria;D_6__uncultured bacterium
4843cfa00517250bf3b03d7cce4abc0e,D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia;D_3__Flavobacteriales;D_4__Flavobacteriaceae
649234e396430ad18e2c4e9738818723,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__NKB5;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium
3966a40f7c725c1c6fc7d98482df3a91,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Halanaerobiales;D_4__Halobacteroidaceae;D_5__uncultured;D_6__uncultured Clostridia bacterium
e5a36a93b231802601b75e53cd5ea39e,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Chromatiales;D_4__Granulosicoccaceae;D_5__Granulosicoccus
88240a5d5ebd9c206990641b7275c1be,D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Planctomycetales;D_4__Planctomycetaceae;D_5__Blastopirellula;D_6__uncultured bacterium
2d1f63d5b19a483bffffd98c9830c9b5,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae 1;D_5__Clostridium sensu stricto 18;D_6__uncultured bacterium
101906a37eaaff718b168cf0eaa2ec4c,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__Nannocystaceae;D_5__uncultured;D_6__uncultured delta proteobacterium
fe8bbbe09e15403feea07bc1f4500be7,D_0__Bacteria
d67581d05ccfc82becb9194f08f74033,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Hahellaceae;D_5__Endozoicomonas;D_6__uncultured bacterium
c8792a1dc4515671a1925b049b5ed901,D_0__Bacteria
09654dbf2ae9c78db752276e5429cb7f,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Labrenzia;D_6__uncultured bacterium
d703cfb0ce81840b7eb8bfc9ea6aa6c1,D_0__Bacteria;D_1__Proteobacteria;D_2__Epsilonproteobacteria;D_3__Campylobacterales;D_4__Campylobacteraceae;D_5__Sulfurospirillum;D_6__uncultured bacterium
d9b35168d3eb8630a584244d44410e2d,D_0__Bacteria;D_1__Deinococcus-Thermus;D_2__Deinococci;D_3__Deinococcales;D_4__Trueperaceae;D_5__Truepera;D_6__uncultured bacterium
91aa7f96235ff49b6261337f191bdc81,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Phyllobacteriaceae;D_5__uncultured;D_6__uncultured alpha proteobacterium
9a9e116e954e51d0ec742172d08b3767,D_0__Bacteria
73ac7aa09204f5e7034c8c4aab5bd981,D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia;D_3__Flavobacteriales;D_4__Flavobacteriaceae
9f7b302972eda99122f138811d57bf8b,D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae;D_3__Subgroup 10;D_4__Sva0725;D_5__uncultured bacterium;D_6__uncultured bacterium
92178a1e6b2b0658c9f0ef3486f29e0f,D_0__Bacteria;D_1__Planctomycetes;D_2__OM190;D_3__uncultured planctomycete;D_4__uncultured planctomycete;D_5__uncultured planctomycete;D_6__uncultured planctomycete
32fdb0f5b1ccd5b0c0afa6b785fd3b21,D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Muricauda;D_6__uncultured bacterium
17d55bac1362787c09333f2cdf9fef45,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Bradyrhizobiaceae;D_5__Bradyrhizobium
9dec9273967bc0d0734f9714795ba80e,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__OCS116 clade;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium
918ff36d03633dce075eb9d48caa56e6,D_0__Bacteria
16cfc51e14b848f6a24b3aee4711d015,D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia;D_3__Flavobacteriales;D_4__Flavobacteriaceae
9f4214f43e0926f6e7a3f9be59523e4a,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria
105de156bfa4d5937210be6f866d0395,D_0__Bacteria;D_1__Tenericutes;D_2__Mollicutes;D_3__Mycoplasmatales;D_4__Mycoplasmataceae;D_5__Mycoplasma;D_6__uncultured organism
7ccc937f35a679f36263b0f949c8bc3d,D_0__Bacteria
b4e90420e3f13a91c1657ff578274dff,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales
01075c0a10497eef56acc8c4690e4650,D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Anaerolineales;D_4__Anaerolineaceae;D_5__uncultured;D_6__uncultured Chloroflexi bacterium
917f020f146b1afe78fbb01b69bdb01c,D_0__Bacteria;D_1__Cyanobacteria;D_2__Cyanobacteria;D_3__SubsectionII;D_4__FamilyII;D_5__Pleurocapsa
5e29554fe29a1a40ed171d5a8411f72b,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Hyphomicrobiaceae
70738d97400956ab747e731ee0e7e74b,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Hahellaceae;D_5__Endozoicomonas;D_6__uncultured bacterium
6e6ed1d58bbb1e6ba4b1b8cd70bd05ea,Unassigned
3a118d37509de9e9ee638da4e3cda533,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__NKB5;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium
714ad97eef9aed858a710ff4b8afa6b8,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria
8c22460f7532a8e03e2b5fc8c23d2cdf,D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Planctomycetales;D_4__Planctomycetaceae;D_5__Pir4 lineage;D_6__uncultured bacterium
d0de614506fa9fe3f180a907e1b868b7,D_0__Bacteria
2abe7c0c78d715ac2cff03c11ebae361,D_0__Bacteria
01cf767139f397c052d5b31f60c2de59,D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Burkholderiales;D_4__Comamonadaceae;D_5__Aquabacterium
167562b9b98fac79633fddf8e25a021e,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfovibrionales;D_4__Desulfovibrionaceae;D_5__Desulfovibrio
728f8c27af2a35db853a5efd7eabddff,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Phyllobacteriaceae;D_5__uncultured;D_6__uncultured bacterium
32a971179f35333b516dc27ffb06469a,D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Planctomycetales;D_4__Planctomycetaceae;D_5__Rhodopirellula;D_6__uncultured planctomycete
33fbfce08c2cc53c7c3d7b962a8cba7d,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__uncultured
c15e5a566e5e97aaaa0cc9b52355548b,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__OCS116 clade;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium
c0278c8e87a1abb991f105e8fa050afb,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingomonas
e28971071cd0fa5319bdf68f2c4e81eb,D_0__Bacteria
6c6de252d1ca174c1aa92dffd3145e76,D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Muricauda;D_6__uncultured bacterium
5e4507df8e8cd39fd555ef0835e11e28,D_0__Bacteria
3b2991256c51832dda474576f6dc7aec,D_0__Bacteria
278e3e96186112128534ce63fcf249c6,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Order Incertae Sedis;D_4__Family Incertae Sedis;D_5__Marinicella;D_6__uncultured gamma proteobacterium
13118a4a8d5e78442bf1e8e306f4dd91,D_0__Bacteria
0fa3ca13d3b07053232cef00ba4636e2,D_0__Bacteria
7415f745387668f7a611d51b22ff0752,D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Planctomycetales;D_4__Planctomycetaceae;D_5__Pir4 lineage
bdab13e19211856ad5b9ffde644217bb,D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Burkholderiales;D_4__Burkholderiaceae;D_5__Burkholderia;D_6__uncultured beta proteobacterium
cbe39cc0bb2b7b9624b9462805bf2f93,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Sh765B-TzT-29;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium
3a3685af2b9b53e7f340b29d3ffc55c2,D_0__Bacteria;D_1__Bacteroidetes;D_2__Sphingobacteriia;D_3__Sphingobacteriales;D_4__Saprospiraceae;D_5__uncultured
c44e00db9d716ae0f4a68ab2dd3d88cf,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae
e9d4dd6111fafaf334471043914cadbf,D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Planctomycetales;D_4__Planctomycetaceae
6b19aec9789ae9cff375161b54827f56,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__uncultured
